Date,Open,Max,Min,Close,Volume
2014-09-03,0.9639,0.9639,0.9543,0.9543,322
2014-09-04,0.9925,0.9925,0.9639,0.9639,15
2014-09-05,0.9925,0.9925,0.9925,0.9925,2
2014-09-08,0.9925,0.9925,0.9543,0.9543,329
2014-09-09,0.9925,0.9925,0.9161,0.9161,778
2014-09-10,0.9829,0.9829,0.9543,0.9829,1570
2014-09-11,0.9829,0.9829,0.9161,0.9829,130
2014-09-12,0.9734,0.9734,0.878,0.9352,14327
2014-09-15,0.9352,0.9352,0.9352,0.9352,2261
2014-09-16,0.9352,0.9352,0.878,0.878,4466
2014-09-17,0.878,0.9066,0.8589,0.8589,51419
2014-09-18,0.9066,0.9066,0.9066,0.9066,45
2014-09-19,0.9066,0.9066,0.9066,0.9066,46
2014-09-22,0.9257,0.9257,0.9257,0.9257,16
2014-09-23,0.9257,0.9257,0.9257,0.9257,4
2014-09-24,0.9257,0.9257,0.9257,0.9257,49
2014-09-25,0.9257,0.9257,0.9257,0.9257,8
2014-09-26,0.9257,0.9257,0.9066,0.9066,15052
2014-09-29,0.9161,0.9257,0.8875,0.9257,2013
2014-09-30,0.9161,0.9161,0.9161,0.9161,7
2014-10-01,0.9257,0.9257,0.8875,0.9066,1202
2014-10-02,0.9066,0.9066,0.9066,0.9066,1094
2014-10-03,0.8875,0.8875,0.878,0.878,2620
2014-10-06,0.878,0.9543,0.878,0.9543,4901
2014-10-07,0.9543,0.9543,0.8971,0.9543,1891
2014-10-08,0.9925,0.9925,0.9829,0.9829,16
2014-10-09,0.9829,0.9829,0.9639,0.9829,1880
2014-10-10,0.9734,0.9734,0.9734,0.9734,9
2014-10-13,0.9829,0.9829,0.8875,0.9829,6394
2014-10-14,0.9829,0.9829,0.8684,0.878,10284
2014-10-15,0.9161,0.9161,0.8493,0.9161,12625
2014-10-16,0.9161,0.9161,0.9161,0.9161,30
2014-10-17,0.9161,0.9161,0.9161,0.9161,503
2014-10-20,0.9161,0.9161,0.9066,0.9066,13
2014-10-21,0.9161,0.9161,0.9066,0.9066,532
2014-10-22,0.9066,0.9066,0.9066,0.9066,12
2014-10-23,0.9066,0.9066,0.9066,0.9066,10
2014-10-24,0.9066,0.9066,0.8875,0.9066,587
2014-10-27,0.9066,0.9066,0.9066,0.9066,10
2014-10-28,0.9066,0.9066,0.8207,0.8303,9667
2014-10-29,0.8493,0.878,0.8493,0.8493,7733
2014-10-30,0.878,0.878,0.8684,0.878,2629
2014-10-31,0.878,0.878,0.8112,0.8684,35110
2014-11-03,0.9066,0.9066,0.878,0.878,4199
2014-11-04,0.8971,0.8971,0.8112,0.8589,24218
2014-11-05,0.8875,0.8875,0.8589,0.8589,1488
2014-11-06,0.8875,0.8875,0.8589,0.8875,1046
2014-11-07,0.8875,0.8875,0.8207,0.8589,11740
2014-11-10,0.878,0.9734,0.8684,0.9734,141660
2014-11-12,0.9734,1.1738,0.9734,1.0593,127057
2014-11-13,1.0593,1.0593,1.0497,1.0497,3436
2014-11-14,1.0497,1.0497,0.9925,0.9925,11528
2014-11-17,0.9448,1.0211,0.9448,1.0211,20068
2014-11-18,1.0975,1.0975,1.0688,1.0688,12
2014-11-19,1.0497,1.0497,1.0211,1.0211,54
2014-11-20,1.002,1.002,0.9352,0.9925,58
2014-11-21,0.9925,0.9925,0.9543,0.9543,2098
2014-11-24,0.9925,0.9925,0.9734,0.9925,2505
2014-11-25,1.002,1.002,0.9448,1.002,35249
2014-11-26,1.002,1.0211,0.9925,1.0211,1570
2014-11-27,1.0211,1.0211,1.0211,1.0211,65
2014-11-28,1.0116,1.0116,0.9543,1.0116,122
2014-12-01,1.0116,1.0497,1.0116,1.0497,7319
2014-12-02,1.0402,1.0402,0.9829,1.0402,8053
2014-12-03,1.0402,1.0402,0.9829,1.0211,3802
2014-12-04,1.0402,1.0402,0.9543,0.9543,5821
2014-12-05,0.9543,1.0307,0.9448,1.0307,10174
2014-12-08,1.0593,1.0593,0.9543,1.0307,5758
2014-12-09,1.0211,1.0211,0.9543,1.0211,5243
2014-12-10,0.9925,0.9925,0.9829,0.9829,1626
2014-12-11,0.9543,0.9543,0.9066,0.9066,18481
2014-12-12,0.9448,0.9448,0.9161,0.9448,56
2014-12-15,0.9448,0.9448,0.9448,0.9448,3060
2014-12-16,0.9925,0.9925,0.9161,0.9161,17013
