Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2007-01-15,2.9408,3.1319,2.9408,3.0173,1138969
2007-01-16,3.1395,3.1395,3.0173,3.0783,168255
2007-01-17,3.0631,3.086,3.0173,3.0554,78530
2007-01-18,2.9867,3.0554,2.9867,3.0173,128747
2007-01-19,3.0478,3.0631,3.002,3.0554,81093
2007-01-22,3.0249,3.0554,2.9867,3.0249,74279
2007-01-23,3.0249,3.0249,2.9026,3.0173,57919
2007-01-24,2.9485,2.9791,2.9255,2.9715,39807
2007-01-25,2.9715,2.9791,2.9103,2.9332,69872
2007-01-26,2.9026,2.9332,2.788,2.9332,35086
2007-01-29,2.7958,2.9408,2.7958,2.9408,70253
2007-01-30,2.9408,2.9408,2.8645,2.8721,49510
2007-01-31,2.9026,2.9255,2.9026,2.9255,61620
2007-02-01,2.9255,2.9255,2.8797,2.9026,30718
2007-02-02,2.9026,3.0478,2.8875,3.0478,88758
2007-02-05,3.0478,3.0935,2.9867,3.0478,69062
2007-02-06,3.0478,3.0935,3.0402,3.0554,108555
2007-02-07,3.0707,3.0707,3.002,3.0554,42658
2007-02-08,3.0554,3.0554,2.8875,2.8875,33949
2007-02-09,2.9408,2.9637,2.9026,2.9561,10959
2007-02-12,2.9178,2.9561,2.9178,2.9255,9638
2007-02-13,2.9255,2.9255,2.9026,2.9255,6094
2007-02-14,2.9026,3.002,2.8797,2.9944,32131
2007-02-15,3.0554,3.1319,2.9408,2.9408,29435
2007-02-16,2.9408,3.0173,2.9103,2.9103,17000
2007-02-19,2.9944,2.9944,2.9178,2.9867,48674
2007-02-20,2.9867,2.9944,2.9103,2.9791,16817
2007-02-21,2.9791,2.9944,2.9485,2.9867,22440
2007-02-22,2.9867,3.0478,2.9791,3.0478,69560
2007-02-23,3.0402,3.0478,3.0249,3.0478,32837
2007-02-26,3.0478,3.0478,2.9791,3.0478,115669
2007-02-27,3.0478,3.0478,2.8797,2.9026,26258
2007-02-28,2.8263,2.9408,2.7958,2.9178,19172
2007-03-01,2.9026,3.0478,2.9026,2.9485,37087
2007-03-02,2.9026,3.002,2.9026,2.9791,12369
2007-03-05,2.8416,2.9561,2.8416,2.9408,40605
2007-03-06,2.9332,2.9791,2.9178,2.9715,29448
2007-03-07,2.9791,2.9791,2.9715,2.9715,15510
2007-03-08,2.9715,3.2081,2.9715,3.1777,190486
2007-03-09,3.3228,3.3228,3.1548,3.2081,85449
2007-03-12,3.2235,3.2539,3.1777,3.2081,48242
2007-03-13,3.2081,3.5137,3.2081,3.3992,118405
2007-03-14,3.3763,3.4984,3.2158,3.4984,73325
2007-03-15,3.6589,3.7887,3.5978,3.7887,204793
2007-03-16,3.8193,3.8881,3.7735,3.7887,132004
2007-03-19,3.7964,3.8193,3.636,3.8117,89213
2007-03-20,3.7887,4.0026,3.7887,3.9797,109903
2007-03-21,4.1477,4.4379,4.0638,4.4379,229222
2007-03-22,4.8122,4.8199,4.2241,4.4608,151174
2007-03-23,4.4379,4.4608,4.2547,4.3463,65975
2007-03-26,4.3387,4.5907,4.3005,4.3234,38892
2007-03-27,4.3617,4.3617,4.102,4.3157,39205
2007-03-28,4.2776,4.2776,4.0867,4.1325,78476
2007-03-29,4.1706,4.2089,3.9797,4.2013,89658
2007-03-30,4.27,4.27,3.9874,4.1325,55735
2007-04-02,4.1477,4.2013,3.8423,4.2013,33778
2007-04-03,4.2013,4.3617,4.1401,4.3234,42267
2007-04-04,4.354,4.7435,4.354,4.5831,82832
2007-04-05,4.5831,4.5907,4.4533,4.5525,35363
